Alert Name,Title,Link
1,"Egypt&#39;s Housing Minister, Slovak Ambassador explore <b>smart city</b> cooperation - Dailynewsegypt",https://www.google.com/url?rct=j&sa=t&url=https://www.dailynewsegypt.com/2025/04/07/egypts-housing-minister-slovak-ambassador-explore-smart-city-cooperation/&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw3qtQ5nLZgbUwFVRclGjgm2
1,No extension to <b>Smart City</b> Mission after December! - www.lokmattimes.com,https://www.google.com/url?rct=j&sa=t&url=https://www.lokmattimes.com/aurangabad/no-extension-to-smart-city-mission-after-december/&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw2AjCtphcb2z3ow3ErQB7i8
1,"Solving LA&#39;s housing crisis hinges on policy, zoning reform: experts | <b>Smart Cities</b> Dive",https://www.google.com/url?rct=j&sa=t&url=https://www.smartcitiesdive.com/news/solving-las-housing-crisis-hinges-on-policy-zoning-reform-experts/744606/&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw3vRzcPt903U6dZncKQ2Bzr
1,Iveda Accelerates <b>Smart City</b> Growth: New IvedaAI™ Update Slashes Deployment Costs ...,https://www.google.com/url?rct=j&sa=t&url=https://www.morningstar.com/news/business-wire/20250407690835/iveda-accelerates-smart-city-growth-new-ivedaai-update-slashes-deployment-costs-and-complexity&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw3z-CUt2DGqBs2duGiLa395
1,"IvedaAI Update Cuts <b>Smart City</b> Setup Time from Weeks to Hours | IVDA Stock News",https://www.google.com/url?rct=j&sa=t&url=https://www.stocktitan.net/news/IVDA/iveda-accelerates-smart-city-growth-new-iveda-aitm-update-slashes-gi8b3dg7ni54.html&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw3FR50ZQa0acwSyW_ZJiDvD
1,"Glendale, CA turns to digital tech to help with composting mandate | <b>Smart Cities</b> Dive",https://www.google.com/url?rct=j&sa=t&url=https://www.smartcitiesdive.com/spons/glendale-ca-turns-to-digital-tech-to-help-with-composting-mandate/743892/&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw1BrXTDIVFxizkwxK5jkV82
1,"Saudi Arabia <b>Smart Cities</b> Market Size to Surpass USD 29,228.7 - openPR.com",https://www.google.com/url?rct=j&sa=t&url=https://www.openpr.com/news/3957519/saudi-arabia-smart-cities-market-size-to-surpass-usd-29-228-7&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw3uF9rv6iemn1iELE4GLq2M
1,"Europe Switchgear Market Size, Share &amp; Growth Report, 2033",https://www.google.com/url?rct=j&sa=t&url=https://www.marketdataforecast.com/market-reports/europe-switchgear-market&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw3I_HSfFzBU4g_ypjmmFceN
1,North America <b>Smart</b> Lighting Market Size,https://www.google.com/url?rct=j&sa=t&url=https://www.marketdataforecast.com/market-reports/north-america-smart-lighting-market&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw1ZB8C7oDmK_viOzE76qTdn
1,Future-Proofing Africa: How <b>Smart Cities</b> and E-Mobility Go Hand in Hand - - Disrupt Africa,https://www.google.com/url?rct=j&sa=t&url=https://disruptafrica.com/2025/04/07/future-proofing-africa-how-smart-cities-and-e-mobility-go-hand-in-hand/&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw2-fqFGsL_qqG_qTMvaE__t
1,Thiruvananthapuram <b>Smart City</b> projects get December deadline to complete pending work,https://www.google.com/url?rct=j&sa=t&url=https://propnewstime.com/getdetailsStories/MTY4NzQ%3D/thiruvananthapuram-smart-city-projects-get-december-deadline-to-complete-pending-work&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw3SWGgVQ-MgS2eU9g8ZalgV
1,Konrad Mizzi on ITS <b>Smart City</b> Campus - YouTube,https://www.google.com/url?rct=j&sa=t&url=https://www.youtube.com/watch%3Fv%3DQP1tM95sTyQ&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw3PvDt4f6_WJRJEMnGTz9SA
1,"Really Interesting! Woven <b>City</b>, Japan, Developed By Toyota - The Good Men Project",https://www.google.com/url?rct=j&sa=t&url=https://goodmenproject.com/featured-content/really-interesting-woven-city-japan-developed-by-toyota/&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw07buW-t5dtv7SBocrnn94N
1,"Construction agencies told to complete major Karnal <b>Smart City</b> projects by April 30, or face action",https://www.google.com/url?rct=j&sa=t&url=https://www.tribuneindia.com/news/haryana/construction-agencies-told-to-complete-major-karnal-smart-city-projects-by-april-30-or-face-action/&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw2HoA7RYtxQ0aAPHZSRneVR
1,Srinagar <b>Smart City</b> CEO reviews traffic scenario - The Tribune,https://www.google.com/url?rct=j&sa=t&url=https://www.tribuneindia.com/news/j-k/srinagar-smart-city-ceo-reviews-traffic-scenario/&ct=ga&cd=CAIyHGM2ZTJjODIwNDNmM2VlZmY6Y29tOmVuOlVTOlI&usg=AOvVaw0FXbpMkJVzn5NEZIFu8tAs
2,Centering priorities: A new framework on <b>project</b> selection for transportation agencies,https://www.google.com/url?rct=j&sa=t&url=https://t4america.org/2025/04/07/centering-priorities-a-new-framework-on-project-selection-for-transportation-agencies/&ct=ga&cd=CAIyHDdmNTZmZmYwYzk3NWE5Yzc6Y29tOmVuOlVTOlI&usg=AOvVaw0Wqmz0gz_GYXpAJvLTisTd
